Price	Image URL	Brand_Name	Size	Type	Gender	Speed	Frame	Brake_Type	Age
209.99	https://m.media-amazon.com/images/I/71bM-9kKqQL._AC_UY218_.jpg	Hiland	29 Inch	Mountain Bike	Men	21 Speeds	High-Tensile Steel Frame	V Brake	Adults
949	https://m.media-amazon.com/images/I/71cJWirAwyL._AC_UY218_.jpg	E-bike		Mountain Bike	Women				Adults
169.99	https://m.media-amazon.com/images/I/61OwPoOpGVL._AC_UY218_.jpg	HILAND	20 Inch		boys				
254.99	https://m.media-amazon.com/images/I/81DPZ3XfrwL._AC_UY218_.jpg	Mountain		Mountain Bike		21 Speeds		Disc Brake	
150	https://m.media-amazon.com/images/I/61zFR6j3wzL._AC_UY218_.jpg	Simply		Hybrid Bike	Men	21 Speed			
259.99	https://m.media-amazon.com/images/I/81qN7R3j1zL._AC_UY218_.jpg	Mountain	27.5 Inch	Mountain Bike		21 Speed			
709	https://m.media-amazon.com/images/I/71TceJJHliL._AC_UY218_.jpg	OneSport							
"1,399.00"	https://m.media-amazon.com/images/I/71TyYmgX1kL._AC_UY218_.jpg	Electric	20 Inch			7 Speed			Adults
169.99	https://m.media-amazon.com/images/I/811qvEFfbpL._AC_UY218_.jpg	Steel				6 Speed			
149.99	https://m.media-amazon.com/images/I/71Ef8+KF5cL._AC_UY218_.jpg	InSync		Mountain Bike	Men	18 Speed			
221.04	https://m.media-amazon.com/images/I/81Ozd1TKRKL._AC_UY218_.jpg	Steel	26 Inch	Mountain Bike					
229.99	https://m.media-amazon.com/images/I/71tMue0vTOL._AC_UY218_.jpg	27.5	27.5 Inch	Mountain Bike	Men	21 Speeds	Aluminum Frame		
179.99	https://m.media-amazon.com/images/I/71X2XY4vz2L._AC_UY218_.jpg	Freesia	16 Inch		Girls				Kids
126	https://m.media-amazon.com/images/I/71MhenIZ3aL._AC_UY218_.jpg	Mountainbike	26 Inch	Mountain Bike	Men	21 Speeds			
209.99	https://m.media-amazon.com/images/I/71HE8wRYqOL._AC_UY218_.jpg	27.5Inch	27.5Inch	Mountain Bike	Men	21 Speed			
269.99	https://m.media-amazon.com/images/I/71iCMC4Yb-L._AC_UY218_.jpg	Hiland	27.5 Inch	Mountain Bike	Men	21 Speeds	Aluminum Frame		
149.99	https://m.media-amazon.com/images/I/71ChbjJlN6L._AC_UY218_.jpg	Breeze		Mountain Bike	Women	6 Speed	Steel Frame		
