BicycleID	MemberID	RentalDate	ReturnDate
37	1049	2023-08-01	2024-04-01
23		2022-04-01	2021-03-02
8	1037	2022-12-28	2023-12-27
14		2022-02-11	2024-02-16
19	1008	2024-08-28	2022-09-26
19		2022-12-12	2024-03-30
12		2022-01-31	2023-04-13
38	1038	2023-07-14	2023-01-25
1		2023-11-16	2024-02-24
14	1011	2022-07-27	2022-12-19
23	1042	2022-04-27	2024-05-11
15		2023-02-03	2023-02-10
27		2024-02-20	2023-01-30
18	1016	2024-09-21	2023-05-28
1		2022-09-21	2024-05-14
44		2022-01-25	2022-02-16
50		2023-05-30	2023-02-06
33	1015	2022-08-02	2024-04-30
27	1014	2023-07-12	2024-08-23
33	1003	2022-09-09	2024-07-01
4	1019	2023-04-10	2024-01-31
3	1016	2022-08-25	2023-05-01
46	1016	2022-02-11	2022-08-02
11	1018	2023-05-17	2022-02-27
4	1022	2022-08-07	2022-09-15
28	1042	2023-10-01	2024-07-14
27	1024	2024-01-20	2023-10-20
50	1046	2022-11-01	2023-11-05
48	1008	2023-04-21	2022-09-21
8		2024-09-06	2023-08-26
7	1007	2022-06-08	2023-04-12
4	1049	2022-12-07	2022-04-30
10	1018	2022-05-31	2024-02-29
5	1014	2024-09-02	2022-07-21
49		2023-11-03	2023-11-23
26	1012	2024-02-25	2024-09-08
14	1023	2023-04-06	2022-10-14
15		2024-01-12	2023-02-13
6		2023-11-09	2022-08-31
29	1034	2023-01-19	2024-05-01
27	1027	2024-01-10	2022-01-20
50		2023-12-24	2022-09-12
12		2022-07-26	2024-09-13
28		2023-06-12	2022-05-06
8	1019	2022-06-15	2024-02-24
32	1002	2022-04-06	2023-05-19
33	1010	2023-10-03	2023-12-10
32	1015	2023-11-02	2023-08-30
8	1022	2022-11-25	2023-03-28
11		2023-01-11	2023-11-27
10	1034	2024-03-24	2022-11-06
1	1018	2023-08-12	2024-04-09
2		2023-08-16	2024-08-05
19		2022-12-19	2024-04-22
49	1049	2023-08-16	2022-11-28
1	1000	2024-07-21	2024-07-16
21	1016	2022-10-25	2023-06-01
24	1034	2022-06-16	2022-07-17
44		2023-05-31	2022-07-02
48	1027	2023-05-07	2023-07-23
6		2024-04-09	2024-04-24
18	10	2024-02-02	2024-01-20
10	1000	2022-05-08	2022-02-04
4	1041	2023-02-22	2023-04-11
38		2023-07-12	2023-02-08
27	1037	2023-09-23	2022-04-17
46	1037	2022-05-17	2022-09-23
29		2022-05-26	2024-03-27
22	1025	2022-03-08	2022-07-13
21	1014	2024-05-03	2022-08-05
24	100	2023-06-21	2022-02-20
40		2023-04-15	2022-02-21
28		2022-08-29	2023-02-26
11	1042	2024-06-17	2023-04-11
