InventoryID	Price	Image URL	Brand_Name	Size	Type	Gender	Speed	Frame	Brake_Type	Age	Suspension	TireType	CustomerRating
001	209.99	https://m.media-amazon.com/images/I/71bM-9kKqQL._AC_UY218_.jpg	Bianchi	27.5Inch	Road Bike	Girls	18 Speed	High-Tensile Steel Frame	Disc Brake	Youth	Full Suspension	Tubeless	5
002	949.0	https://m.media-amazon.com/images/I/71cJWirAwyL._AC_UY218_.jpg	Bianchi	29 Inch	BMX	Unisex	1 Speed	Aluminum Frame	V Brake	Kids	Front Suspension	Tube	5
003	169.99	https://m.media-amazon.com/images/I/61OwPoOpGVL._AC_UY218_.jpg	Bianchi	26 Inch	Mountain Bike	Unisex	7 Speed	Carbon Fiber	Disc Brake	Adults	No Suspension	Tubeless	3
004	254.99	https://m.media-amazon.com/images/I/81DPZ3XfrwL._AC_UY218_.jpg	Bianchi	26 Inch	Folding Bike	Girls	6 Speed	High-Tensile Steel Frame	V Brake	Youth	Front Suspension	Tubeless	1
005	150.0	https://m.media-amazon.com/images/I/61zFR6j3wzL._AC_UY218_.jpg	Bianchi	26 Inch	Hybrid	Unisex	7 Speed	Titanium	Disc Brake	Youth	Front Suspension	Tube	1
006	259.99	https://m.media-amazon.com/images/I/81qN7R3j1zL._AC_UY218_.jpg	Bianchi	16 Inch	Electric Bike	Men	7 Speed	Aluminum Frame	Caliper Brake	Adults	Full Suspension	Tube	1
007	1399.0	https://m.media-amazon.com/images/I/71TyYmgX1kL._AC_UY218_.jpg	Bianchi	12 Inch	Gravel Bike	Unisex	6 Speed	Titanium	V Brake	Adults	Front Suspension	Tubeless	4
008	169.99	https://m.media-amazon.com/images/I/811qvEFfbpL._AC_UY218_.jpg	Cannondale	16 Inch	Road Bike	Girls	21 Speed	Carbon Fiber	V Brake	Kids	Front Suspension	Tube	5
009	149.99	https://m.media-amazon.com/images/I/71Ef8+KF5cL._AC_UY218_.jpg	Cannondale	16 Inch	BMX	Men	18 Speed	Titanium	Disc Brake	Youth	Full Suspension	Tube	1
010	221.04	https://m.media-amazon.com/images/I/81Ozd1TKRKL._AC_UY218_.jpg	Cannondale	12 Inch	Mountain Bike	Men	6 Speed	Steel Frame	V Brake	Adults	Front Suspension	Tube	1
