BicycleID	MemberID	RentalDate	ReturnDate
49	1023	2022-01-02	2024-07-03
21	1023	2022-01-07	2023-06-21
3	1011	2022-01-14	2024-05-08
17	1000	2022-01-15	2024-04-06
47	1026	2022-01-18	2022-04-23
36	6841	2022-01-21	2024-08-06
44	6841	2022-01-25	2022-02-16
40	6841	2022-01-26	2023-01-06
12	6841	2022-01-31	2023-04-13
7	1017	2022-02-02	2024-05-02
24	1034	2022-02-06	2023-11-14
46	1016	2022-02-11	2022-08-02
14	6841	2022-02-11	2024-02-16
42	6841	2022-02-22	2024-09-13
2	6841	2022-02-22	2024-06-17
22	1025	2022-03-08	2022-07-13
17	1015	2022-03-15	2023-09-19
3	1014	2022-03-20	2023-06-21
38	6841	2022-03-22	2022-07-19
35	1001	2022-03-31	2024-08-04
23	6841	2022-04-01	2022-04-02
32	1002	2022-04-06	2023-05-19
35	1013	2022-04-10	2024-01-10
15	1000	2022-04-15	2024-01-04
5	6841	2022-04-23	2022-08-15
37	6841	2022-04-27	2023-06-14
23	1042	2022-04-27	2024-05-11
7	1031	2022-04-28	2023-04-12
10	1000	2022-05-08	2022-05-09
32	1010	2022-05-12	2024-01-13
46	1037	2022-05-17	2022-09-23
2	6841	2022-05-23	2022-05-24
29	6841	2022-05-26	2024-03-27
10	1018	2022-05-31	2024-02-29
18	6841	2022-06-01	2022-06-11
7	1007	2022-06-08	2023-04-12
4	1020	2022-06-09	2024-08-05
11	1037	2022-06-12	2022-06-13
26	1049	2022-06-12	2023-11-01
8	1019	2022-06-15	2024-02-24
24	1034	2022-06-16	2022-07-17
15	1000	2022-06-26	2024-05-27
1	6841	2022-07-03	2023-11-16
29	1006	2022-07-11	2022-08-08
10	1000	2022-07-13	2023-05-19
37	1001	2022-07-13	2023-02-07
22	6841	2022-07-18	2023-09-03
19	6841	2022-07-22	2023-04-11
19	1012	2022-07-22	2022-07-23
12	6841	2022-07-26	2024-09-13
14	1011	2022-07-27	2022-12-19
43	6841	2022-07-31	2023-02-14
33	1015	2022-08-02	2024-04-30
4	1022	2022-08-07	2022-09-15
26	6841	2022-08-10	2023-03-28
9	6841	2022-08-14	2024-03-24
47	6841	2022-08-20	2023-03-02
3	1016	2022-08-25	2023-05-01
28	6841	2022-08-29	2023-02-26
40	1017	2022-09-03	2024-07-24
37	1040	2022-09-08	2024-05-17
33	1003	2022-09-09	2024-07-01
