MemberID,RentalLimit,MembershipEndDate
1000,3,2025-10-20
1001,3,2024-12-31
1002,2,2022-05-15
1003,1,2023-11-30
1005,3,2025-12-31
1006,2,2022-05-15
1007,3,2025-10-20
1008,3,2025-10-20
1010,3,2025-10-20
1011,3,2025-10-20
1012,3,2025-10-20
1013,3,2025-10-20
1014,3,2025-10-20
1015,3,2025-10-20
1016,3,2025-10-20
1017,3,2025-10-20
1018,3,2025-10-20
1019,3,2025-10-20
1020,3,2025-10-20
1021,3,2025-10-20
1022,3,2025-10-20
1023,3,2025-10-20
1024,3,2025-10-20
1025,3,2025-10-20
1026,3,2025-10-20
1027,3,2025-10-20
1030,1,2023-11-30
1031,3,2025-10-20
1032,3,2025-10-20
1034,3,2025-10-20
1035,3,2025-10-20
1037,3,2025-10-20
1038,3,2025-10-20
1040,2,2025-06-01
1041,3,2025-10-20
1042,3,2025-10-20
1044,2,2025-06-01
1046,3,2025-10-20
1047,3,2025-10-20
1048,3,2025-10-20
1049,3,2025-10-20
6841,3,2025-11-03
